"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Ramiro Pena","Braves","80","220","200","47","8","1","3","18","13","15","43","1","1","1",".235",".290",".330",".620",".277","0.0","-0.4","0.2","8841"
"Tommy Field","Angels","107","441","399","88","17","2","8","44","33","30","100","5","5","1",".221",".281",".333",".614",".276","-1.0","0.3","0.3","6262"
"Tim Beckham","Rays","81","346","317","76","12","2","4","38","25","20","82","2","7","3",".240",".287",".328",".615",".275","0.0","0.0","0.5","7949"
"Rafael Furcal","Royals","40","166","153","36","5","2","1","20","12","11","24","1","5","1",".235",".291",".314",".605",".273","-2.0","0.5","-0.2","88"
"Kristopher Negron","Reds","115","394","361","78","16","3","8","41","35","20","108","6","11","2",".216",".267",".343",".611",".273","3.0","1.2","0.7","5306"
"Ryan Jackson","Cardinals","84","343","309","73","13","1","3","29","27","25","72","1","3","0",".236",".293",".314",".607",".273","1.0","0.3","0.6","6596"
"Pedro Ciriaco","Royals","107","363","346","88","16","3","3","36","27","9","60","2","14","4",".254",".276",".344",".620",".273","2.0","1.0","0.4","5278"
"Jonathan Herrera","Red Sox","76","221","197","47","5","2","1","27","15","15","34","2","3","3",".239",".298",".299",".597",".270","-1.0","-0.7","-0.3","4182"
"Irving Falu","Padres","113","434","399","98","12","3","3","39","28","23","46","0","11","8",".246",".285",".313",".599",".268","-2.0","-1.2","-0.6","6165"
"Brent Lillibridge","Yankees","99","321","296","62","10","1","9","36","28","17","98","4","12","4",".209",".260",".341",".601",".267","-3.0","0.7","-0.4","3501"
"Tyler Greene","White Sox","116","426","395","88","17","2","7","48","34","21","134","5","9","4",".223",".269",".329",".598",".266","-2.0","0.0","0.2","4675"
"Munenori Kawasaki","Blue Jays","110","352","313","74","10","3","0","35","26","24","56","3","5","2",".236",".295",".288",".583",".266","0.0","-0.1","-0.2","13047"
