"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Tyler Moore","Nationals","121","423","385","93","21","1","15","46","55","32","115","3","1","1",".242",".303",".418",".721",".319","1.0","-0.5","0.7","7244"
"Kyle Parker","Rockies","132","548","507","133","23","3","15","56","62","34","129","4","3","3",".262",".312",".408",".720",".318","-7.0","-1.0","-0.8","11763"
"Mark Reynolds","Cardinals","131","479","418","91","17","0","20","57","59","54","136","4","3","2",".218",".311",".402",".713",".317","-4.0","-0.6","0.2","7619"
"Allen Craig","Red Sox","125","506","462","119","26","1","13","55","64","34","108","6","2","1",".258",".314",".403",".717",".317","-2.0","-0.4","0.9","3433"
"Chris Parmelee","Twins","134","491","441","107","22","1","16","50","56","42","110","4","1","2",".243",".312",".406",".718",".317","0.0","-1.0","0.7","2554"
"Tommy Medica","Padres","115","411","372","87","21","3","13","54","49","30","118","7","4","1",".234",".302",".411",".713",".316","1.0","0.1","0.9","11147"
"Ryan Howard","Phillies","108","449","398","93","16","1","18","51","77","41","131","5","0","0",".234",".310",".415",".724",".315","-4.0","-0.4","0.0","2154"
"Logan Morrison","Mariners","112","432","389","94","19","2","13","49","50","37","77","4","3","1",".242",".313",".401",".714",".315","-2.0","-0.1","0.6","9205"
"Dan Johnson","Reds","120","492","425","95","18","0","17","58","53","58","97","4","0","0",".224",".319",".386",".705",".314","-1.0","-0.4","0.7","2167"
"Adam Dunn","Athletics","123","499","426","87","15","0","21","50","66","66","155","4","1","1",".204",".315",".387",".702",".313","0.0","-0.6","0.5","319"
"Mitch Moreland","Rangers","102","357","323","80","17","1","11","37","46","26","75","2","0","0",".248",".304",".409",".713",".313","0.0","-0.3","0.3","3086"
"Nick Swisher","Indians","115","489","428","98","23","1","14","50","58","54","121","2","1","1",".229",".316",".386",".701",".312","0.0","-0.6","0.4","4599"
"Jason Rogers","Brewers","134","547","498","124","25","3","14","62","62","42","119","3","5","1",".249",".309",".396",".705",".312","-4.0","0.1","1.2","11773"
"Jake Goebbert","Padres","128","481","425","98","19","6","12","63","50","47","105","5","4","2",".231",".313",".388",".701",".311","1.0","-0.4","1.2","9431"
"Shane Peterson","Brewers","121","537","476","117","25","3","11","63","57","50","129","3","9","2",".246",".319",".380",".699",".311","-8.0","0.6","0.7","7423"
"Eric Campbell","Mets","120","416","367","92","19","1","6","47","39","40","87","5","7","2",".251",".330",".357",".687",".310","0.0","0.2","0.6","6938"
